worker_sex,request_sex,age_in_range,worker_region,request_region,worker_position,request_job,worker_time,request_time,experience_match,region_match,job_match,sex_match,time_match,score
남자,남자,0,성동구,마포구,간병 도우미,간병 도우미,오전,오후,0,0,1,1,0,30.0
여자,여자,1,성북구,강북구,샘플 배포,호텔 리셉션,종일,오후,1,0,0,1,0,40.0
남자,여자,0,성북구,양천구,수영장 안전요원,영상 편집 보조,오전,종일,1,0,0,0,0,20.0
남자,남자,0,강동구,용산구,상품 포장,사진 촬영 보조,오후,오전,1,0,0,1,0,30.0
여자,여자,0,동작구,서대문구,마트 계산원,제과점 알바,오후,오전,1,0,0,1,0,30.0
여자,여자,0,강북구,송파구,사진 촬영 보조,네일샵 보조,오후,종일,1,0,0,1,0,30.0
여자,남자,0,영등포구,중구,마사지샵 보조,렌터카 안내,종일,오후,1,0,0,0,0,20.0
남자,남자,1,용산구,동대문구,청소 알바,청소 알바,오전,오후,1,0,1,1,0,60.0
남자,여자,0,관악구,도봉구,학교 급식 보조,외국어 과외,종일,오후,1,0,0,0,0,20.0
남자,남자,0,성북구,양천구,분식점 알바,세차장 직원,오전,오전,1,0,0,1,1,50.0
남자,여자,1,노원구,동작구,사무보조,고깃집,오후,종일,1,0,0,0,0,30.0
여자,남자,0,마포구,용산구,서빙,호텔 리셉션,오후,종일,0,0,0,0,0,0.0
남자,남자,0,관악구,강동구,IT 개발 보조,IT 개발 보조,오전,오전,0,0,1,1,1,50.0
여자,남자,0,강남구,영등포구,샘플 배포,논문 교정,종일,종일,1,0,0,0,1,40.0
여자,여자,1,강서구,구로구,어린이집 보조교사,미용실 보조,종일,오후,1,0,0,1,0,40.0
남자,남자,0,서초구,강동구,블로그 글쓰기,블로그 글쓰기,종일,오전,0,0,1,1,0,30.0
남자,여자,1,서대문구,중구,제과점 알바,리서치 조사원,오후,오후,1,0,0,0,1,50.0
여자,남자,0,노원구,중랑구,약국 보조,웨딩샵 피팅 보조,종일,오전,0,0,0,0,0,0.0
남자,남자,1,영등포구,도봉구,학습지 교사,발렛파킹,종일,오전,1,0,0,1,0,40.0
남자,남자,1,강동구,은평구,논문 교정,과외,오후,오전,0,0,0,1,0,20.0
남자,남자,1,동대문구,마포구,건설 현장 보조,유튜브 편집,오전,오후,1,0,0,1,0,40.0
여자,여자,0,강남구,구로구,면세점 스태프,세차장 직원,오후,종일,0,0,0,1,0,10.0
남자,여자,1,동작구,도봉구,술집,피자집,오전,종일,1,0,0,0,0,30.0
여자,여자,1,중랑구,강동구,웨딩샵 피팅 보조,영상 편집 보조,종일,종일,1,0,0,1,1,60.0
남자,여자,0,성북구,종로구,문구점 직원,게스트하우스 관리,오후,오전,1,0,0,0,0,20.0
여자,여자,1,중구,관악구,출판 보조,과외,종일,종일,1,0,0,1,1,60.0
여자,여자,1,용산구,관악구,택배 분류,택배 분류,오후,오전,0,0,1,1,0,40.0
남자,여자,1,중랑구,서초구,네일샵 보조,술집,오후,오전,1,0,0,0,0,30.0
남자,남자,0,강남구,종로구,창고 정리,상품 포장,오전,오후,1,0,0,1,0,30.0
남자,남자,1,종로구,강동구,이벤트 스태프,유튜브 편집,오후,종일,1,0,0,1,0,40.0
남자,남자,1,용산구,성북구,원어민 회화 도우미,주유소 직원,종일,종일,0,0,0,1,1,40.0
여자,남자,1,서대문구,은평구,술집,술집,오후,오전,0,0,1,0,0,30.0
남자,남자,1,도봉구,중구,도서관 사서 보조,도서관 사서 보조,오전,종일,1,0,1,1,0,60.0
여자,남자,0,동대문구,강남구,영화관 스태프,행사 도우미,오전,오후,0,0,0,0,0,0.0
여자,여자,0,동작구,도봉구,노래방 알바,노래방 알바,오후,오전,0,0,1,1,0,30.0
남자,여자,0,서초구,은평구,유튜브 편집,유튜브 편집,오후,오전,1,0,1,0,0,40.0
여자,여자,1,송파구,송파구,리서치 조사원,서점 직원,종일,오후,1,1,0,1,0,60.0
여자,여자,1,서대문구,구로구,상품 포장,도서 정리,오후,오전,0,0,0,1,0,20.0
남자,남자,0,강서구,중구,갤러리 안내원,갤러리 안내원,오전,오전,1,0,1,1,1,70.0
남자,남자,0,영등포구,중랑구,리서치 조사원,렌터카 안내,오전,오후,1,0,0,1,0,30.0
여자,남자,0,강서구,노원구,상품 포장,놀이방 교사 보조,오후,오후,1,0,0,0,1,40.0
여자,남자,0,서초구,노원구,수영장 안전요원,병원 안내,종일,오후,1,0,0,0,0,20.0
여자,남자,0,양천구,강남구,도서관 사서 보조,도서관 사서 보조,오전,오전,0,0,1,0,1,40.0
남자,남자,0,노원구,강동구,발렛파킹,발렛파킹,오전,오후,1,0,1,1,0,50.0
남자,남자,1,영등포구,마포구,마트 계산원,편의점 알바,오전,오전,1,0,0,1,1,60.0
여자,남자,1,강북구,도봉구,서빙,SNS 관리,오전,오전,1,0,0,0,1,50.0
남자,여자,1,서초구,성동구,호프집,창고 정리,종일,오후,1,0,0,0,0,30.0
여자,남자,0,강동구,영등포구,유튜브 편집,배달,오후,종일,1,0,0,0,0,20.0
여자,남자,0,광진구,영등포구,게스트하우스 관리,학원 보조교사,오후,오전,1,0,0,0,0,20.0
여자,남자,0,마포구,용산구,사무실 청소,식품 포장,오전,종일,1,0,0,0,0,20.0
여자,여자,0,강남구,광진구,영화관 스태프,웨딩샵 피팅 보조,종일,오후,0,0,0,1,0,10.0
여자,여자,1,종로구,동대문구,간병 도우미,뷔페,종일,오후,0,0,0,1,0,20.0
여자,남자,0,마포구,성북구,고객 응대,고객 응대,오전,오후,0,0,1,0,0,20.0
여자,남자,0,강동구,은평구,샘플 배포,샘플 배포,종일,종일,0,0,1,0,1,40.0
남자,남자,0,강남구,성동구,서점 직원,면세점 스태프,오전,오전,1,0,0,1,1,50.0
남자,여자,0,강남구,송파구,공장 단순노무,주유소 직원,종일,오후,0,0,0,0,0,0.0
남자,남자,1,구로구,영등포구,고객 응대,분식점 알바,오후,종일,1,0,0,1,0,40.0
여자,여자,1,은평구,용산구,패스트푸드점,PC방 알바,오후,종일,0,0,0,1,0,20.0
여자,여자,1,광진구,양천구,전시회 도우미,통역 알바,오전,종일,0,0,0,1,0,20.0
여자,남자,0,구로구,송파구,볼링장 알바,패스트푸드점,오전,오전,0,0,0,0,1,20.0
여자,남자,0,성동구,강서구,놀이공원 스태프,마트 계산원,종일,종일,1,0,0,0,1,40.0
여자,여자,0,강남구,강북구,마사지샵 보조,서베이 조사,종일,종일,1,0,0,1,1,50.0
남자,여자,0,동작구,동작구,고깃집,볼링장 알바,오후,종일,0,1,0,0,0,20.0
여자,남자,1,구로구,동작구,택배 분류,택배 분류,오후,오전,0,0,1,0,0,30.0
남자,여자,1,마포구,동작구,수영장 안전요원,전자부품 조립,오전,종일,1,0,0,0,0,30.0
남자,여자,0,광진구,강서구,아이스크림 가게,영화관 스태프,오전,종일,0,0,0,0,0,0.0
여자,여자,1,양천구,광진구,마트 계산원,마트 계산원,오전,종일,1,0,1,1,0,60.0
남자,여자,0,영등포구,영등포구,분식점 알바,분식점 알바,오전,종일,0,1,1,0,0,40.0
여자,남자,0,도봉구,동대문구,전단지 배포,여행사 보조,오후,종일,1,0,0,0,0,20.0
여자,남자,0,광진구,강남구,어린이집 보조교사,호프집,오전,종일,0,0,0,0,0,0.0
여자,남자,0,동작구,중랑구,갤러리 안내원,갤러리 안내원,종일,오후,0,0,1,0,0,20.0
남자,남자,1,양천구,성북구,놀이공원 스태프,서점 직원,오전,오후,1,0,0,1,0,40.0
여자,여자,1,종로구,서초구,면세점 스태프,면세점 스태프,오후,오전,1,0,1,1,0,60.0
남자,남자,1,송파구,강북구,갤러리 안내원,식품 포장,오전,종일,1,0,0,1,0,40.0
남자,여자,0,노원구,서초구,배달,주방보조,종일,오전,0,0,0,0,0,0.0
남자,남자,0,종로구,강서구,웨딩샵 피팅 보조,렌터카 안내,오후,종일,1,0,0,1,0,30.0
여자,여자,0,강북구,영등포구,제과점 알바,학교 급식 보조,종일,오전,1,0,0,1,0,30.0
남자,여자,1,중랑구,중랑구,놀이공원 스태프,병원 접수,종일,종일,1,1,0,0,1,70.0
남자,남자,0,서초구,중구,원어민 회화 도우미,원어민 회화 도우미,오전,오후,0,0,1,1,0,30.0
여자,여자,0,동대문구,용산구,고깃집,SNS 관리,오후,오전,1,0,0,1,0,30.0
남자,남자,1,송파구,종로구,서베이 조사,학원 보조교사,종일,오후,1,0,0,1,0,40.0
여자,남자,1,양천구,노원구,식품 포장,여행사 보조,오전,오후,1,0,0,0,0,30.0
여자,남자,1,중랑구,구로구,샘플 배포,발렛파킹,오전,종일,1,0,0,0,0,30.0
여자,남자,0,도봉구,중랑구,보안요원,보안요원,오전,종일,0,0,1,0,0,20.0
여자,여자,0,노원구,서대문구,뷔페,뷔페,오전,오전,0,0,1,1,1,50.0
여자,남자,0,강남구,강남구,외국어 과외,미스터리 쇼퍼,오후,오전,0,1,0,0,0,20.0
여자,남자,0,도봉구,동작구,사진 촬영 보조,공장 단순노무,오후,종일,0,0,0,0,0,0.0
여자,여자,1,강북구,양천구,고깃집,고깃집,오후,오후,0,0,1,1,1,60.0
남자,남자,0,종로구,노원구,피자집,샘플 배포,오후,오전,1,0,0,1,0,30.0
남자,여자,0,성북구,성동구,매장 진열,배달,오전,오후,1,0,0,0,0,20.0
여자,남자,1,중구,구로구,뷔페,면세점 스태프,오전,종일,1,0,0,0,0,30.0
여자,여자,0,광진구,중랑구,볼링장 알바,물류센터,오전,오후,1,0,0,1,0,30.0
여자,여자,0,성동구,동작구,샘플 배포,샘플 배포,종일,오전,0,0,1,1,0,30.0
여자,여자,1,중구,양천구,도서 정리,서점 직원,오전,종일,0,0,0,1,0,20.0
남자,여자,0,동대문구,송파구,횟집,사무보조,종일,종일,0,0,0,0,1,20.0
여자,여자,0,중랑구,강남구,콜센터,건설 현장 보조,종일,종일,1,0,0,1,1,50.0
남자,남자,0,광진구,양천구,호텔 리셉션,볼링장 알바,종일,종일,0,0,0,1,1,30.0
여자,여자,1,동작구,송파구,횟집,공항 안내,오전,오후,1,0,0,1,0,40.0
남자,여자,0,서초구,성북구,원어민 회화 도우미,식품 포장,오후,오후,0,0,0,0,1,20.0
남자,남자,1,종로구,송파구,공항 안내,공항 안내,오후,오전,1,0,1,1,0,60.0
남자,여자,0,구로구,영등포구,리서치 조사원,미용실 보조,오후,오후,0,0,0,0,1,20.0
남자,남자,0,동작구,광진구,발렛파킹,발렛파킹,종일,오전,1,0,1,1,0,50.0
여자,남자,0,종로구,은평구,주방보조,도서관 사서 보조,오후,오후,0,0,0,0,1,20.0
남자,여자,0,금천구,강남구,논문 교정,논문 교정,오후,오후,1,0,1,0,1,60.0
남자,남자,0,광진구,동작구,인테리어 보조,분식점 알바,오후,오전,1,0,0,1,0,30.0
여자,여자,0,영등포구,은평구,볼링장 알바,호프집,종일,종일,1,0,0,1,1,50.0
남자,여자,0,노원구,관악구,주방보조,주방보조,오후,오전,0,0,1,0,0,20.0
여자,여자,0,강서구,중구,외국어 과외,술집,종일,종일,0,0,0,1,1,30.0
남자,여자,1,강서구,광진구,약국 보조,놀이공원 스태프,오후,오후,0,0,0,0,1,30.0
여자,남자,1,노원구,강남구,블로그 글쓰기,주유소 직원,오전,오전,0,0,0,0,1,30.0
여자,여자,0,영등포구,도봉구,헬스장 데스크,헬스장 데스크,종일,오전,1,0,1,1,0,50.0
여자,남자,0,서초구,강동구,전화 영업,전단지 배포,오전,오후,1,0,0,0,0,20.0
남자,남자,1,강동구,중구,카페 알바,청소 알바,오전,오전,0,0,0,1,1,40.0
여자,남자,0,성북구,성북구,갤러리 안내원,갤러리 안내원,오후,오후,0,1,1,0,1,60.0
남자,여자,0,노원구,서초구,전자부품 조립,전자부품 조립,오전,오후,0,0,1,0,0,20.0
여자,여자,0,강남구,강북구,이벤트 스태프,SNS 관리,종일,오전,1,0,0,1,0,30.0
남자,여자,0,서대문구,구로구,프로그래밍 보조,원어민 회화 도우미,오후,종일,0,0,0,0,0,0.0
여자,여자,0,금천구,송파구,분식점 알바,매장 진열,오후,오전,0,0,0,1,0,10.0
남자,여자,1,중구,동대문구,게스트하우스 관리,게스트하우스 관리,오후,오후,1,0,1,0,1,70.0
남자,여자,1,동작구,중랑구,프로그래밍 보조,리서치 조사원,오전,종일,1,0,0,0,0,30.0
남자,여자,0,광진구,강서구,약국 보조,약국 보조,오후,오후,0,0,1,0,1,40.0
남자,여자,0,중랑구,동대문구,창고 정리,물류센터,종일,오전,0,0,0,0,0,0.0
남자,여자,1,동작구,성북구,건설 현장 보조,호프집,종일,오전,0,0,0,0,0,10.0
여자,남자,0,영등포구,중구,세차장 직원,세차장 직원,오후,오후,0,0,1,0,1,40.0
남자,여자,0,종로구,용산구,마사지샵 보조,마사지샵 보조,종일,종일,0,0,1,0,1,40.0
남자,여자,1,중랑구,관악구,제과점 알바,영상 편집 보조,종일,오전,0,0,0,0,0,10.0
여자,남자,1,성북구,강동구,게스트하우스 관리,게스트하우스 관리,종일,종일,1,0,1,0,1,70.0
여자,여자,0,동작구,동작구,주차 요원,리서치 조사원,종일,오전,0,1,0,1,0,30.0
여자,여자,0,도봉구,동작구,사무보조,사무보조,오후,종일,0,0,1,1,0,30.0
여자,남자,0,동작구,동대문구,웹디자인 보조,웹디자인 보조,오전,오후,0,0,1,0,0,20.0
남자,여자,0,서대문구,강북구,피팅모델,피팅모델,종일,오후,1,0,1,0,0,40.0
남자,남자,1,성북구,관악구,전자부품 조립,미스터리 쇼퍼,오후,종일,0,0,0,1,0,20.0
여자,여자,1,용산구,성동구,호텔 리셉션,호텔 리셉션,오전,오후,0,0,1,1,0,40.0
남자,여자,0,강서구,용산구,논문 교정,사진 촬영 보조,오전,오전,1,0,0,0,1,40.0
여자,남자,0,광진구,관악구,발렛파킹,발렛파킹,종일,오전,1,0,1,0,0,40.0
남자,여자,0,중랑구,광진구,간병 도우미,IT 개발 보조,오전,종일,1,0,0,0,0,20.0
여자,여자,1,금천구,마포구,물류센터,물류센터,오후,오전,1,0,1,1,0,60.0
남자,여자,1,동작구,강북구,미용실 보조,주유소 직원,오후,오전,0,0,0,0,0,10.0
남자,여자,0,도봉구,성북구,편의점 알바,여행사 보조,오전,종일,1,0,0,0,0,20.0
여자,남자,0,용산구,종로구,전자부품 조립,과외,오전,오전,0,0,0,0,1,20.0
남자,여자,1,도봉구,금천구,병원 안내,병원 안내,오후,오전,0,0,1,0,0,30.0
남자,남자,1,서대문구,송파구,피팅모델,약국 보조,종일,오전,0,0,0,1,0,20.0
여자,여자,0,동작구,중구,콜센터,서베이 조사,오전,종일,1,0,0,1,0,30.0
여자,여자,0,강동구,서대문구,건설 현장 보조,호프집,종일,오후,0,0,0,1,0,10.0
여자,남자,0,도봉구,구로구,번역 알바,배달,종일,종일,1,0,0,0,1,40.0
남자,여자,1,은평구,성동구,학습지 교사,온라인 쇼핑몰 운영 보조,오후,종일,1,0,0,0,0,30.0
여자,남자,0,노원구,중랑구,샘플 배포,제과점 알바,오후,오후,0,0,0,0,1,20.0
여자,남자,0,양천구,서대문구,술집,술집,오전,오전,1,0,1,0,1,60.0
남자,남자,0,마포구,중랑구,뷔페,서점 직원,오후,오전,0,0,0,1,0,10.0
여자,남자,0,서초구,도봉구,마트 계산원,통역 알바,오전,오후,0,0,0,0,0,0.0
여자,남자,0,용산구,서초구,결혼식 도우미,경비원,오후,오전,0,0,0,0,0,0.0
여자,남자,0,광진구,관악구,학원 보조교사,학원 보조교사,오후,오전,0,0,1,0,0,20.0
남자,여자,1,동대문구,중랑구,공장 단순노무,공장 단순노무,오후,종일,0,0,1,0,0,30.0
여자,남자,1,양천구,송파구,청소 알바,공항 안내,종일,종일,0,0,0,0,1,30.0
여자,남자,0,중구,용산구,방문판매,방문판매,오전,오전,0,0,1,0,1,40.0
남자,여자,0,성동구,용산구,주방보조,주방보조,종일,오후,0,0,1,0,0,20.0
남자,남자,0,금천구,성북구,카페 알바,주차 요원,종일,종일,0,0,0,1,1,30.0
여자,남자,0,관악구,성북구,편의점 알바,편의점 알바,오전,오전,0,0,1,0,1,40.0
여자,남자,1,강서구,종로구,외국어 과외,발렛파킹,종일,오전,1,0,0,0,0,30.0
여자,여자,1,성동구,강동구,주차관리,보안요원,종일,오후,0,0,0,1,0,20.0
남자,남자,1,강북구,광진구,마트 계산원,고깃집,오전,오후,0,0,0,1,0,20.0
남자,남자,0,도봉구,서초구,전단지 배포,뷔페,오전,오전,0,0,0,1,1,30.0
남자,남자,0,중랑구,중랑구,고객 응대,볼링장 알바,종일,오전,1,1,0,1,0,50.0
여자,남자,0,종로구,광진구,분식점 알바,분식점 알바,오전,오전,0,0,1,0,1,40.0
여자,남자,0,중랑구,서초구,병원 접수,방문판매,오전,종일,1,0,0,0,0,20.0
남자,남자,0,강북구,마포구,출판 보조,출판 보조,종일,종일,0,0,1,1,1,50.0
여자,여자,1,중구,종로구,주방보조,전시회 도우미,오후,오후,0,0,0,1,1,40.0
남자,남자,0,마포구,양천구,병원 접수,영상 편집 보조,종일,종일,1,0,0,1,1,50.0
남자,남자,1,마포구,광진구,웨딩샵 피팅 보조,웨딩샵 피팅 보조,오후,오전,0,0,1,1,0,40.0
남자,남자,0,금천구,광진구,편의점 알바,편의점 알바,종일,오전,0,0,1,1,0,30.0
여자,남자,0,종로구,중랑구,영화관 스태프,영화관 스태프,오후,오전,0,0,1,0,0,20.0
남자,여자,0,마포구,성북구,호텔 리셉션,호텔 리셉션,종일,오후,0,0,1,0,0,20.0
남자,여자,1,동대문구,강서구,호프집,전화 영업,오후,오전,1,0,0,0,0,30.0
여자,남자,0,성북구,동작구,IT 개발 보조,사진 촬영 보조,종일,종일,1,0,0,0,1,40.0
남자,남자,1,성동구,양천구,주차 요원,치킨집,오후,오후,0,0,0,1,1,40.0
남자,여자,0,도봉구,성동구,횟집,PC방 알바,종일,종일,1,0,0,0,1,40.0
남자,여자,0,관악구,양천구,SNS 관리,서빙,오전,오후,1,0,0,0,0,20.0
남자,여자,1,동작구,광진구,병원 안내,발렛파킹,종일,종일,0,0,0,0,1,30.0
남자,남자,1,동작구,강서구,주유소 직원,주유소 직원,종일,종일,1,0,1,1,1,80.0
여자,여자,0,마포구,마포구,고객 응대,고객 응대,오후,오후,1,1,1,1,1,90.0
남자,남자,0,서대문구,광진구,주차관리,놀이공원 스태프,오전,오후,0,0,0,1,0,10.0
여자,남자,0,중구,영등포구,수영장 안전요원,수영장 안전요원,오후,오후,0,0,1,0,1,40.0
여자,여자,1,동대문구,성북구,독서실/스터디카페 관리,미스터리 쇼퍼,종일,오후,1,0,0,1,0,40.0
남자,남자,0,동작구,강동구,도서 정리,학습지 교사,오후,오후,0,0,0,1,1,30.0
여자,여자,0,구로구,노원구,원어민 회화 도우미,전단지 배포,오전,종일,1,0,0,1,0,30.0
남자,남자,1,용산구,서대문구,결혼식 도우미,결혼식 도우미,오전,종일,0,0,1,1,0,40.0
여자,여자,0,서대문구,강서구,리서치 조사원,전화 영업,오후,오전,0,0,0,1,0,10.0
남자,여자,0,구로구,강남구,블로그 글쓰기,학습지 교사,종일,오후,0,0,0,0,0,0.0
남자,여자,0,동대문구,종로구,발렛파킹,병원 접수,오전,종일,1,0,0,0,0,20.0
여자,여자,1,관악구,도봉구,독서실/스터디카페 관리,독서실/스터디카페 관리,오후,오후,1,0,1,1,1,80.0
남자,남자,1,서초구,노원구,놀이공원 스태프,세차장 직원,종일,오전,1,0,0,1,0,40.0
여자,남자,1,금천구,구로구,횟집,영화관 스태프,오후,오전,0,0,0,0,0,10.0
남자,남자,0,종로구,도봉구,주유소 직원,온라인 쇼핑몰 운영 보조,종일,오전,0,0,0,1,0,10.0
남자,남자,1,은평구,강동구,피팅모델,청소 알바,오후,종일,0,0,0,1,0,20.0
남자,남자,0,성북구,종로구,게스트하우스 관리,상품 포장,오전,종일,1,0,0,1,0,30.0
여자,남자,0,금천구,광진구,학교 급식 보조,카페 알바,오후,오전,0,0,0,0,0,0.0
여자,남자,0,동대문구,노원구,호텔 리셉션,수영장 안전요원,오전,종일,1,0,0,0,0,20.0
여자,남자,0,은평구,종로구,어린이집 보조교사,어린이집 보조교사,오전,종일,0,0,1,0,0,20.0
남자,남자,0,금천구,마포구,도서 정리,이벤트 스태프,종일,종일,1,0,0,1,1,50.0
남자,여자,1,동작구,관악구,원어민 회화 도우미,원어민 회화 도우미,종일,종일,0,0,1,0,1,50.0
남자,남자,1,영등포구,동대문구,유튜브 편집,렌터카 안내,오후,오전,1,0,0,1,0,40.0
여자,여자,0,강북구,성북구,서빙,PC방 알바,오후,오전,0,0,0,1,0,10.0
남자,남자,0,동작구,종로구,IT 개발 보조,아이스크림 가게,오후,오후,1,0,0,1,1,50.0
남자,여자,0,은평구,노원구,학원 보조교사,학원 보조교사,오전,종일,0,0,1,0,0,20.0
여자,여자,1,동대문구,성동구,약국 보조,영상 편집 보조,오후,종일,1,0,0,1,0,40.0
남자,여자,0,마포구,마포구,호프집,치킨집,오전,종일,0,1,0,0,0,20.0
남자,남자,1,강동구,서초구,보안요원,전단지 배포,오후,종일,1,0,0,1,0,40.0
남자,여자,0,은평구,동작구,공장 단순노무,원어민 회화 도우미,오후,오후,0,0,0,0,1,20.0
여자,여자,1,노원구,서초구,고객 응대,횟집,오후,오전,0,0,0,1,0,20.0
남자,여자,0,관악구,강북구,방문판매,택배 분류,오전,오전,1,0,0,0,1,40.0
남자,남자,0,광진구,용산구,유튜브 편집,물류센터,종일,오후,0,0,0,1,0,10.0
여자,여자,0,동대문구,마포구,약국 보조,과외,종일,종일,0,0,0,1,1,30.0
여자,남자,0,용산구,강서구,도서관 사서 보조,피자집,오후,오후,1,0,0,0,1,40.0
여자,여자,1,금천구,광진구,피자집,피자집,종일,오전,1,0,1,1,0,60.0
여자,여자,0,관악구,양천구,독서실/스터디카페 관리,수영장 안전요원,오후,오전,1,0,0,1,0,30.0
여자,여자,0,관악구,성북구,독서실/스터디카페 관리,택배 분류,오후,오후,0,0,0,1,1,30.0
여자,여자,0,서초구,도봉구,면세점 스태프,사무보조,오전,오전,0,0,0,1,1,30.0
남자,남자,0,성북구,성동구,헬스장 데스크,병원 안내,오전,종일,1,0,0,1,0,30.0
남자,여자,0,성북구,광진구,수영장 안전요원,IT 개발 보조,오후,오전,1,0,0,0,0,20.0
남자,여자,1,중랑구,중구,헬스장 데스크,주차 요원,종일,오전,1,0,0,0,0,30.0
여자,여자,1,영등포구,서대문구,결혼식 도우미,고객 응대,오전,종일,1,0,0,1,0,40.0
남자,여자,0,양천구,마포구,세차장 직원,공장 단순노무,종일,종일,1,0,0,0,1,40.0
남자,여자,1,도봉구,용산구,택배 분류,택배 분류,오전,종일,0,0,1,0,0,30.0
여자,남자,0,동작구,중랑구,분식점 알바,주차관리,오전,오후,0,0,0,0,0,0.0
남자,여자,0,관악구,도봉구,아이스크림 가게,아이스크림 가게,오전,오전,1,0,1,0,1,60.0
여자,여자,0,서초구,강서구,결혼식 도우미,미용실 보조,종일,종일,1,0,0,1,1,50.0
여자,남자,0,서초구,성북구,피자집,약국 보조,종일,종일,0,0,0,0,1,20.0
여자,여자,0,종로구,강서구,사진 촬영 보조,사진 촬영 보조,오전,오전,1,0,1,1,1,70.0
남자,여자,1,마포구,노원구,치킨집,치킨집,종일,오전,1,0,1,0,0,50.0
여자,남자,1,강서구,서대문구,뷔페,뷔페,오후,오전,1,0,1,0,0,50.0
여자,남자,0,강서구,강북구,택배 분류,경비원,오전,오전,0,0,0,0,1,20.0
남자,남자,0,강북구,관악구,수영장 안전요원,고깃집,오후,종일,0,0,0,1,0,10.0
남자,남자,1,마포구,중랑구,어린이집 보조교사,렌터카 안내,오전,오후,1,0,0,1,0,40.0
여자,여자,0,마포구,동작구,카페 알바,블로그 글쓰기,종일,종일,1,0,0,1,1,50.0
남자,여자,0,송파구,중랑구,학교 급식 보조,호텔 리셉션,오후,오전,0,0,0,0,0,0.0
남자,여자,0,동대문구,종로구,호프집,물류센터,오후,종일,1,0,0,0,0,20.0
여자,여자,0,광진구,중랑구,식품 포장,식품 포장,오후,오후,1,0,1,1,1,70.0
남자,남자,0,은평구,성북구,병원 안내,패스트푸드점,오전,오전,0,0,0,1,1,30.0
남자,여자,1,강서구,강남구,논문 교정,마사지샵 보조,오전,오전,0,0,0,0,1,30.0
여자,여자,1,종로구,중구,리서치 조사원,독서실/스터디카페 관리,종일,오전,0,0,0,1,0,20.0
남자,여자,1,성북구,도봉구,사무보조,병원 접수,오전,오전,1,0,0,0,1,50.0
여자,남자,0,마포구,노원구,배달,미용실 보조,오전,오후,0,0,0,0,0,0.0
여자,남자,0,구로구,관악구,패스트푸드점,미용실 보조,오전,오후,1,0,0,0,0,20.0
남자,남자,0,구로구,도봉구,원어민 회화 도우미,호프집,종일,종일,0,0,0,1,1,30.0
남자,남자,0,종로구,성북구,면세점 스태프,공장 단순노무,오후,오전,1,0,0,1,0,30.0
여자,여자,0,도봉구,강북구,청소 알바,청소 알바,오후,오후,0,0,1,1,1,50.0
남자,남자,1,성북구,은평구,이벤트 스태프,공장 단순노무,오후,오전,1,0,0,1,0,40.0
여자,남자,0,서대문구,마포구,전시회 도우미,볼링장 알바,오전,종일,0,0,0,0,0,0.0
여자,남자,1,중랑구,중구,발렛파킹,피자집,종일,오후,1,0,0,0,0,30.0
여자,여자,0,구로구,강북구,방문판매,방문판매,오전,종일,1,0,1,1,0,50.0
남자,여자,0,동대문구,동대문구,렌터카 안내,공장 단순노무,오후,종일,0,1,0,0,0,20.0
남자,남자,0,동작구,용산구,영화관 스태프,PC방 알바,오전,오전,1,0,0,1,1,50.0
여자,남자,0,강서구,영등포구,학원 보조교사,온라인 쇼핑몰 운영 보조,종일,오후,1,0,0,0,0,20.0
